run_accession,experiment_accession,sample_accession,biosample_accession,library_accession,series_accession,study_accession,project_accession,sex,assay,suspension_type
SRR11858627,SRX8408725,SRS6721061,SAMN15040596,GSM4572193 ,GSE151302,SRP264987,PRJNA635415,male,10x 5' v1,nucleus
ERR6449877,ERX4319150,ERS5009256,SAMEA7249639,,,ERP123138,PRJEB39602,,,
ERR6449880,ERX4319150,ERS5009256,SAMEA7249639,,,ERP123138,PRJEB39602,,,
ERR7423364,ERX4319150,ERS5009256,SAMEA7249639,,,ERP123138,PRJEB39602,,,
SRR9990775,SRX6730015,SRS5281874,SAMN12592468,GSM4037986 ,GSE135922,SRP218652,PRJNA560646,,,
SRR9990777,SRX6730015,SRS5281874,SAMN12592468,GSM4037986 ,GSE135922,SRP218652,PRJNA560646,,,
SRR9990776,SRX6730015,SRS5281874,SAMN12592468,GSM4037986 ,GSE135922,SRP218652,PRJNA560646,,,
ERR4027892,ERX4029231,ERS4467520,SAMEA6739635,,,ERP121161,PRJEB37830,,,
ERR4027895,ERX4029231,ERS4467520,SAMEA6739635,,,ERP121161,PRJEB37830,,,
ERR4027894,ERX4029231,ERS4467520,SAMEA6739635,,,ERP121161,PRJEB37830,,,
ERR4027893,ERX4029231,ERS4467520,SAMEA6739635,,,ERP121161,PRJEB37830,,,
ERR4653821,ERX4577544,ERS5133871,SAMEA7375429,,,ERP124296,PRJEB40639,,,
ERR4653824,ERX4577544,ERS5133871,SAMEA7375429,,,ERP124296,PRJEB40639,,,
ERR4653823,ERX4577544,ERS5133871,SAMEA7375429,,,ERP124296,PRJEB40639,,,
ERR4653822,ERX4577544,ERS5133871,SAMEA7375429,,,ERP124296,PRJEB40639,,,
ERR5417919,ERX5202406,ERS5890161,SAMEA8203560,,,ERP127429,PRJEB43460,,,
ERR5417922,ERX5202406,ERS5890161,SAMEA8203560,,,ERP127429,PRJEB43460,,,
ERR5417920,ERX5202406,ERS5890161,SAMEA8203560,,,ERP127429,PRJEB43460,,,
ERR5417921,ERX5202406,ERS5890161,SAMEA8203560,,,ERP127429,PRJEB43460,,,
SRR11858626,SRX8408724,SRS6721060,SAMN15040597,GSM4572192 ,GSE151302,SRP264987,PRJNA635415,,,
SRR11858631,SRX8408727,SRS6721063,SAMN15040594,GSM4572195 ,GSE151302,SRP264987,PRJNA635415,,,
SRR11858632,SRX8408728,SRS6721064,SAMN15040593,GSM4572196 ,GSE151302,SRP264987,PRJNA635415,,,
SRR9141213,SRX5914366,SRS4832592,SAMN11878527,GSM3823940 ,GSE131882,SRP199727,PRJNA545232,,,
SRR9141214,SRX5914366,SRS4832592,SAMN11878527,GSM3823940 ,GSE131882,SRP199727,PRJNA545232,,,
SRR9141216,SRX5914367,SRS4832593,SAMN11878526,GSM3823941 ,GSE131882,SRP199727,PRJNA545232,,,
SRR9141215,SRX5914367,SRS4832593,SAMN11878526,GSM3823941 ,GSE131882,SRP199727,PRJNA545232,,,
SRR9141218,SRX5914369,SRS4832595,SAMN11878524,GSM3823943 ,GSE131882,SRP199727,PRJNA545232,,,
SRR9141219,SRX5914369,SRS4832595,SAMN11878524,GSM3823943 ,GSE131882,SRP199727,PRJNA545232,,,
SRR32118900,SRX27465338,SRS23890760,SAMN46409437,GSM9031419,GSE299043,SRP559768,PRJNA1215450,,,
SRR33681854,SRX28908213,SRS25133584,SAMN48707468,GSM9031887,GSE299043,SRP559768,PRJNA1215450,,,
SRR33534197,SRX28768531,SRS25008410,SAMN48444194,GSM9031481,GSE299043,SRP559768,PRJNA1215450,,,
SRR33534173,SRX28768555,SRS25008434,SAMN48444285,GSM9031524,GSE299043,SRP559768,PRJNA1215450,,,
SRR33534149,SRX28768579,SRS25008458,SAMN48444357,GSM9031564,GSE299043,SRP559768,PRJNA1215450,,,
SRR33534285,SRX28768625,SRS25008504,SAMN48444290,GSM9031529,GSE299043,SRP559768,PRJNA1215450,,,
SRR33534282,SRX28768628,SRS25008507,SAMN48444293,GSM9031532,GSE299043,SRP559768,PRJNA1215450,,,
SRR33534704,SRX28769016,SRS25008892,SAMN48444691,GSM9031617,GSE299043,SRP559768,PRJNA1215450,,,
SRR33534809,SRX28769085,SRS25008961,SAMN48444830,GSM9031679,GSE299043,SRP559768,PRJNA1215450,,,
SRR33534790,SRX28769104,SRS25008980,SAMN48444872,GSM9031697,GSE299043,SRP559768,PRJNA1215450,,,
ERR6449853,ERX4319130,ERS5009303,SAMEA7249835,,,ERP123138,PRJEB39602,,,
ERR7423341,ERX4319130,ERS5009303,SAMEA7249835,,,ERP123138,PRJEB39602,,,
ERR6449854,ERX4319130,ERS5009303,SAMEA7249835,,,ERP123138,PRJEB39602,,,
ERR7423340,ERX4319130,ERS5009303,SAMEA7249835,,,ERP123138,PRJEB39602,,,
ERR7423343,ERX4319130,ERS5009303,SAMEA7249835,,,ERP123138,PRJEB39602,,,
ERR6449856,ERX4319130,ERS5009303,SAMEA7249835,,,ERP123138,PRJEB39602,,,
SRR17764593,SRX13926942,SRS11775202,SAMN25280643,GSM5837799,GSE195460,SRP356866,PRJNA800746,,,
SRR9141220,SRX5914370,SRS4832596,SAMN11878523,GSM3823944 ,GSE131882,SRP199727,PRJNA545232,,,
SRR9141221,SRX5914370,SRS4832596,SAMN11878523,GSM3823944 ,GSE131882,SRP199727,PRJNA545232,,,
SRR11858629,SRX8408726,SRS6721062,SAMN15040595,GSM4572194 ,GSE151302,SRP264987,PRJNA635415,,,
SRR11858630,SRX8408726,SRS6721062,SAMN15040595,GSM4572194 ,GSE151302,SRP264987,PRJNA635415,,,
SRR9141212,SRX5914365,SRS4832591,SAMN11878528,GSM3823939 ,GSE131882,SRP199727,PRJNA545232,,,
SRR23617314,SRX19501887,SRS16890196,SAMN33441048,GSM7064237,"GSE226108,GSE265801,GSE265774",SRP424526,PRJNA938514,,,
